State,County,PCT_REDUCED_LUNCH10,PCT_DIABETES_ADULTS10,PCT_OBESE_ADULTS10,FOODINSEC_10_12,PCT_OBESE_CHILD11,PCT_LACCESS_POP10,PCT_LACCESS_CHILD10,PCT_LACCESS_SENIORS10,PCT_LOCLFARM07,FMRKT13,PCT_FMRKT_SNAP13,PCT_FMRKT_WIC13,FMRKT_FRVEG13,PCT_FRMKT_FRVEG13,PCT_FRMKT_ANMLPROD13,FOODHUB12,FARM_TO_SCHOOL,SODATAX_STORES11,GROC12,SNAPS12,WICS12,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_65OLDER10,PCT_18YOUNGER10,POVRATE10,CHILDPOVRATE10,SNAP_PART_RATE10
VA,Louisa,8.095540055,11.2,34,9.2,14.5,2.349261629,0.556828368,0.295411789,6,3,33,0,1,33.33333333,33.33333333,1,0,1.5,4,16.75,5,77.103128,17.591168,2.298435,0.476578,14.466262,22.133744,9.9,15.6,75
VA,Lunenburg,9.356014581,13.4,33.8,9.2,18.9,0.03529449,0.009399347,0.003218546,5.7,1,0,0,1,100,0,0,0,1.5,3,9.416666667,2,59.857519,34.46647,3.639461,0.193588,17.198389,19.312374,20.5,28.4,75
VA,Madison,6.165494862,10.7,33,9.2,15.1,1.854872146,0.338806243,0.390780235,6.9,1,0,0,1,100,100,1,0,1.5,6,10.41666667,1,85.617674,9.708446,1.773369,0.556057,17.508266,22.317403,11.7,17.4,75
VA,Mathews,5.528052805,13,27.4,9.2,15.6,0,0,0,14,1,0,0,1,100,100,0,0,1.5,2,5,1,87.268879,9.155714,1.158387,0.33415,25.506794,18.200045,10.2,17.1,75
VA,Mecklenburg,7.558139535,12.8,32.8,9.2,15.9,10.99842969,1.876833389,1.781825463,1.9,1,0,0,1,100,100,0,0,1.5,8,42.83333333,6,58.712989,36.538638,2.462798,0.650839,20.729062,19.482385,20.2,28.4,75
VA,Middlesex,6.129303107,12.7,28.5,9.2,12.6,0.981860527,0.199694251,0.193993579,9.2,3,0,0,0,0,0,0,0,1.5,3,12,2,78.510813,17.848344,1.514737,0.337622,25.18478,16.068984,13.6,22.3,75
VA,Montgomery,6.277011731,6.9,27,9.2,12.9,8.359449148,1.732091555,1.630532569,6.7,3,33,0,3,100,100,0,0,1.5,13,63.33333333,9,85.908763,3.846724,2.686668,5.391347,9.776252,16.01301,20.5,17.2,75
VA,Nelson,7.680569685,12.1,25.4,9.2,16.1,5.239111085,1.137027311,0.908614925,11,3,0,0,1,33.33333333,33.33333333,0,0,1.5,4,12.66666667,1,81.77763,12.92277,3.055925,0.439414,19.893475,19.254328,13.1,20.9,75
VA,New Kent,3.843490305,10.6,30,9.2,11.8,0.000239485,7.98E-05,0,9.1,1,0,0,0,0,0,1,0,1.5,5,7.5,3,80.329915,13.424494,2.11623,0.862771,12.078789,22.252971,5.8,8.4,75
VA,Northampton,7.666666667,15.1,29.8,9.2,18,0.310409566,0.067692393,0.056465887,12.6,3,33,33.33333333,0,0,0,0,0,1.5,3,18,3,54.524175,36.249899,7.054645,0.653806,22.447332,19.662604,18.7,31.6,75
